"batch_id","run_id","mesh","status","exit_code","start_time","end_time","duration_seconds","nnodi","ninterf","nele_interni","output_dir"
"20260506_173317","01_bump_unstr_n1","bump_unstr_n1.msh","OK","0","2026-05-06T17:33:19","2026-05-06T17:33:22","3.828","636","1217","582","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173317\01_bump_unstr_n1"
"20260506_173410","01_bump_str_n1","bump_str_n1.msh","OK","0","2026-05-06T17:34:11","2026-05-06T17:34:18","7.489","750","1435","686","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173410\01_bump_str_n1"
"20260506_173410","02_bump_unstr_n1","bump_unstr_n1.msh","OK","0","2026-05-06T17:34:11","2026-05-06T17:34:22","10.128","636","1217","582","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173410\02_bump_unstr_n1"
"20260506_173501","01_bump_str_n1","bump_str_n1.msh","OK","0","2026-05-06T17:35:03","2026-05-06T17:35:09","5.645","750","1435","686","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173501\01_bump_str_n1"
"20260506_173501","02_bump_str_n2","bump_str_n2.msh","OK","0","2026-05-06T17:35:12","2026-05-06T17:35:23","10.95","3000","5870","2871","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173501\02_bump_str_n2"
"20260506_173501","03_bump_str_n3","bump_str_n3.msh","OK","0","2026-05-06T17:35:23","2026-05-06T17:36:24","60.911","6750","13305","6556","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173501\03_bump_str_n3"
"20260506_173501","04_bump_str_n4","bump_str_n4.msh","OK","0","2026-05-06T17:36:26","2026-05-06T17:40:16","229.186","12000","23740","11741","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173501\04_bump_str_n4"
"20260506_173501","05_bump_unstr_n05","bump_unstr_n05.msh","OK","0","2026-05-06T17:40:16","2026-05-06T17:40:25","8.945","2343","4579","2237","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173501\05_bump_unstr_n05"
"20260506_173501","06_bump_unstr_n1","bump_unstr_n1.msh","OK","0","2026-05-06T17:40:26","2026-05-06T17:40:31","5.874","636","1217","582","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_173501\06_bump_unstr_n1"
"20260506_174338","01_bump_unstr_n1","bump_unstr_n1.msh","OK","0","2026-05-06T17:43:39","2026-05-06T17:43:53","13.869","636","1217","582","C:\Users\gabri\Desktop\SP\Bump\runs\batch_20260506_174338\01_bump_unstr_n1"
"20260506_175925","01_bump_unstr_n1","bump_unstr_n1.msh","OK","0","2026-05-06T17:59:34","2026-05-06T17:59:38","4.461","636","1217","582","runs\batch_20260506_175925\01_bump_unstr_n1"
"20260506_180504","01_bump_str_n1","bump_str_n1.msh","OK","0","2026-05-06T18:05:05","2026-05-06T18:05:10","4.736","750","1435","686","runs\batch_20260506_180504\01_bump_str_n1"
"20260506_180504","02_bump_str_n2","bump_str_n2.msh","OK","0","2026-05-06T18:05:11","2026-05-06T18:05:27","16.701","3000","5870","2871","runs\batch_20260506_180504\02_bump_str_n2"
"20260506_180504","03_bump_str_n3","bump_str_n3.msh","OK","0","2026-05-06T18:05:27","2026-05-06T18:06:26","58.3","6750","13305","6556","runs\batch_20260506_180504\03_bump_str_n3"
"20260506_180504","04_bump_str_n4","bump_str_n4.msh","OK","0","2026-05-06T18:06:26","2026-05-06T18:09:01","155.324","12000","23740","11741","runs\batch_20260506_180504\04_bump_str_n4"
"20260506_180504","05_bump_unstr_n05","bump_unstr_n05.msh","OK","0","2026-05-06T18:09:01","2026-05-06T18:09:12","10.53","2343","4579","2237","runs\batch_20260506_180504\05_bump_unstr_n05"
"20260506_180504","06_bump_unstr_n1","bump_unstr_n1.msh","OK","0","2026-05-06T18:09:12","2026-05-06T18:09:17","5.099","636","1217","582","runs\batch_20260506_180504\06_bump_unstr_n1"
